"","Cidade","UF","Sexo","Idade","Peso","Altura","Curso","Opção.ENEM","Nota.ENEM","Idade.da.Escolha.do.Curso","Gosto.pela.Área.de.Exatas"
"180","Russas","CE","Masculino",19,59,1.73,"Engenharia de Software","Sim","644",18,3
"181","Fortaleza","CE","Feminino",20,52,1.53,"Engenharia de Produção","Não",NA,19,1
"182","Limoeiro do norte","CE","Masculino",18,51,1,"Engenharia Mecânica","Sim","646.5",17,5
"183","Morada Nova","CE","Masculino",18,59,1.70,"Engenharia Mecânica","Sim","651",18,5
"184","Morada Nova","CE","Masculino",18,63,1.74,"Engenharia Mecânica","Não","720.12",17,5
"185","Cruz","CE","Masculino",19,55,1.70,"Ciência da Computação","Sim",NA,17,4
"186","Russas","CE","Feminino",18,53,1.58,"Ciência da Computação","Não","656",17,4
"187","russas","CE","Masculino",19,60,1.66,"Engenharia de Software","Sim","635",17,3
"188","Morada Nova","CE","Feminino",18,54,1.57,"Engenharia de Produção","Sim","657.56",18,3
"189","Itarema","CE","Feminino",18,70,1.63,"Engenharia Mecânica","Sim",NA,17,4
"190","Russas","CE","Feminino",18,57,1.48,"Engenharia de Software","Sim","650",17,3
"191","Russas","CE","Masculino",18,60,1.70,"Engenharia Mecânica","Sim","705.5",17,3
"192","Ruaasa","CE","Masculino",18,55,1.67,"Engenharia Mecânica","Sim",NA,16,4
"193","Amontada","CE","Masculino",22,80,1.67,"Ciência da Computação","Sim","558",18,5
"194","Itaitinga","CE","Masculino",19,78,1.84,"Engenharia de Produção","Não","624",19,3
"195","Morada Nova","CE","Masculino",22,92,1.84,"Ciência da Computação","Sim",NA,17,4
"196","Pedra Branca","CE","Feminino",17,70,1.67,"Engenharia de Produção","Sim","634.88",16,5
"197","Jaguaruana","CE","Feminino",23,62,1.60,"Ciência da Computação","Sim",NA,19,4
"198","Jaguaruana","CE","Feminino",22,50,1.57,"Engenharia de Software","Sim","627.8",19,3
"199","Jaguaruna","CE","Masculino",21,52,1.63,"Engenharia de Software","Não",NA,17,4
"200","Limoeiro do Norte","CE","Masculino",23,80,1.79,"Ciência da Computação","Sim","550",20,5
"201","Morada Nova","CE","Masculino",20,75,1.81,"Ciência da Computação","Sim","620",16,5
"202","Fortaleza","CE","Feminino",19,75,1.65,"Engenharia de Produção","Sim","668",16,5
"203","São Gonçalo do Amarante","CE","Masculino",19,77.5,1.79,"Ciência da Computação","Sim",NA,18,4
"204","Russas","CE","Masculino",17,70,1.7,"Engenharia Mecânica","Sim","643.6",12,3
"205","Russas","CE","Feminino",17,44,1.59,"Engenharia Mecânica","Sim","664.62",17,4
"206","Jaguaruana","CE","Feminino",22,86,1.76,"Engenharia de Software","Sim","622",17,5
"207","Limoeiro do Norte","CE","Masculino",21,78,1.74,"Engenharia de Software","Não",NA,16,4
"208","Russas","CE","Masculino",18,65.5,1.73,"Engenharia Mecânica","Sim",NA,16,4
"209","Russas","CE","Masculino",22,74,1.74,"Ciência da Computação","Sim","602",16,4
"210","Palhano","CE","Feminino",22,60,1.55,"Ciência da Computação","Sim","605",18,4
"211","São Benedito","CE","Masculino",19,60,1.7,"Engenharia Mecânica","Sim","631",18,5
"212","Russas","CE","Feminino",21,55,1.50,"Engenharia Mecânica","Sim","680",14,5
"213","Fortaleza","CE","Masculino",20,85,1.85,"Engenharia de Software","Sim","620",18,4
"214","Russas","CE","Feminino",18,43,1.56,"Engenharia de Produção","Sim","604.50",17,2
